Mã trạm,Trạm,Tên tỉnh,Tên sông,Mực nước (cm),Cảnh báo,Cảnh báo value (0-4),BĐ1 (m),BĐ2 (m),BĐ3 (m),Mực nước lịch sử (m),Năm lũ lịch sử,Thời gian (GMT+7),Start time (GMT+7),End time (GMT+7),x,y
69716,Bản Đôn,Đắk Lắk,Srêpốk,17055.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,01/11/2025 03:00,01/11/2025 01:00,01/11/2025 03:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17057.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,01/11/2025 05:00,01/11/2025 03:00,01/11/2025 05:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17059.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,01/11/2025 07:00,01/11/2025 05:00,01/11/2025 07:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17059.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,01/11/2025 09:00,01/11/2025 07:00,01/11/2025 09:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17059.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,01/11/2025 11:00,01/11/2025 09:00,01/11/2025 11:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17059.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,01/11/2025 13:00,01/11/2025 11:00,01/11/2025 13:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17059.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,01/11/2025 15:00,01/11/2025 13:00,01/11/2025 15:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17055.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,01/11/2025 17:00,01/11/2025 15:00,01/11/2025 17:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17048.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,01/11/2025 19:00,01/11/2025 17:00,01/11/2025 19:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17018.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,02/11/2025 01:00,01/11/2025 19:00,02/11/2025 01:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17000.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,02/11/2025 03:00,02/11/2025 01:00,02/11/2025 03:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,16995.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,02/11/2025 05:00,02/11/2025 03:00,02/11/2025 05:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,16990.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,02/11/2025 07:00,02/11/2025 05:00,02/11/2025 07:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,16990.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,02/11/2025 09:00,02/11/2025 07:00,02/11/2025 09:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17036.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,02/11/2025 11:00,02/11/2025 09:00,02/11/2025 11:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17042.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,02/11/2025 13:00,02/11/2025 11:00,02/11/2025 13:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17048.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,02/11/2025 15:00,02/11/2025 13:00,02/11/2025 15:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17050.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,02/11/2025 17:00,02/11/2025 15:00,02/11/2025 17:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17052.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,02/11/2025 19:00,02/11/2025 17:00,02/11/2025 19:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17055.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,03/11/2025 01:00,02/11/2025 19:00,03/11/2025 01:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17068.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,03/11/2025 03:00,03/11/2025 01:00,03/11/2025 03:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17076.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,03/11/2025 05:00,03/11/2025 03:00,03/11/2025 05:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17080.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,03/11/2025 07:00,03/11/2025 05:00,03/11/2025 07:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17072.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,03/11/2025 09:00,03/11/2025 07:00,03/11/2025 09:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17064.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,03/11/2025 11:00,03/11/2025 09:00,03/11/2025 11:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17056.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,03/11/2025 13:00,03/11/2025 11:00,03/11/2025 13:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17050.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,03/11/2025 15:00,03/11/2025 13:00,03/11/2025 15:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17048.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,03/11/2025 17:00,03/11/2025 15:00,03/11/2025 17:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17046.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,03/11/2025 19:00,03/11/2025 17:00,03/11/2025 19:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17098.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,04/11/2025 01:00,03/11/2025 19:00,04/11/2025 01:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17084.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,04/11/2025 03:00,04/11/2025 01:00,04/11/2025 03:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17080.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,04/11/2025 05:00,04/11/2025 03:00,04/11/2025 05:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17120.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,04/11/2025 07:00,04/11/2025 05:00,04/11/2025 07:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17157.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,04/11/2025 09:00,04/11/2025 07:00,04/11/2025 09:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17151.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,04/11/2025 11:00,04/11/2025 09:00,04/11/2025 11:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17129.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,04/11/2025 13:00,04/11/2025 11:00,04/11/2025 13:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17135.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,04/11/2025 15:00,04/11/2025 13:00,04/11/2025 15:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17149.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,04/11/2025 17:00,04/11/2025 15:00,04/11/2025 17:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17155.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,04/11/2025 19:00,04/11/2025 17:00,04/11/2025 19:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17141.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,05/11/2025 01:00,04/11/2025 19:00,05/11/2025 01:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17112.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,05/11/2025 03:00,05/11/2025 01:00,05/11/2025 03:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17083.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,05/11/2025 05:00,05/11/2025 03:00,05/11/2025 05:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17078.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,05/11/2025 07:00,05/11/2025 05:00,05/11/2025 07:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17115.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,05/11/2025 09:00,05/11/2025 07:00,05/11/2025 09:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17084.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,05/11/2025 11:00,05/11/2025 09:00,05/11/2025 11:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17048.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,05/11/2025 13:00,05/11/2025 11:00,05/11/2025 13:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17081.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,05/11/2025 15:00,05/11/2025 13:00,05/11/2025 15:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17118.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,05/11/2025 17:00,05/11/2025 15:00,05/11/2025 17:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17152.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,05/11/2025 19:00,05/11/2025 17:00,05/11/2025 19:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17123.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,06/11/2025 01:00,05/11/2025 19:00,06/11/2025 01:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17092.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,06/11/2025 03:00,06/11/2025 01:00,06/11/2025 03:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17081.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,06/11/2025 05:00,06/11/2025 03:00,06/11/2025 05:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17117.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,06/11/2025 07:00,06/11/2025 05:00,06/11/2025 07:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17156.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,06/11/2025 09:00,06/11/2025 07:00,06/11/2025 09:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17150.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,06/11/2025 11:00,06/11/2025 09:00,06/11/2025 11:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17114.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,06/11/2025 13:00,06/11/2025 11:00,06/11/2025 13:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17140.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,06/11/2025 15:00,06/11/2025 13:00,06/11/2025 15:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17169.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,06/11/2025 17:00,06/11/2025 15:00,06/11/2025 17:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17185.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,06/11/2025 19:00,06/11/2025 17:00,06/11/2025 19:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17227.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,07/11/2025 01:00,06/11/2025 19:00,07/11/2025 01:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17233.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,07/11/2025 03:00,07/11/2025 01:00,07/11/2025 03:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17231.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,07/11/2025 05:00,07/11/2025 03:00,07/11/2025 05:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17235.0,Trên BĐ1,1.0,171.0,173.0,174.0,178.84,1993,07/11/2025 07:00,07/11/2025 05:00,07/11/2025 07:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,,Không có dữ liệu,,171.0,173.0,174.0,178.84,1993,07/11/2025 08:00,07/11/2025 07:00,07/11/2025 08:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17040.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,31/10/2025 01:00,31/10/2025 01:00,31/10/2025 01:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17042.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,31/10/2025 03:00,31/10/2025 01:00,31/10/2025 03:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17043.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,31/10/2025 05:00,31/10/2025 03:00,31/10/2025 05:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17043.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,31/10/2025 07:00,31/10/2025 05:00,31/10/2025 07:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17039.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,31/10/2025 09:00,31/10/2025 07:00,31/10/2025 09:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17035.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,31/10/2025 11:00,31/10/2025 09:00,31/10/2025 11:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17030.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,31/10/2025 13:00,31/10/2025 11:00,31/10/2025 13:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17030.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,31/10/2025 15:00,31/10/2025 13:00,31/10/2025 15:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17040.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,31/10/2025 17:00,31/10/2025 15:00,31/10/2025 17:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17050.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,31/10/2025 19:00,31/10/2025 17:00,31/10/2025 19:00,107.79299926757812,12.850000381469727
69716,Bản Đôn,Đắk Lắk,Srêpốk,17053.0,Bình thường,0.0,171.0,173.0,174.0,178.84,1993,01/11/2025 01:00,31/10/2025 19:00,01/11/2025 01:00,107.79299926757812,12.850000381469727
69718,Giang Sơn,Đắk Lắk,Krông Ana,41985.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,01/11/2025 04:00,01/11/2025 01:00,01/11/2025 04:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41987.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,01/11/2025 07:00,01/11/2025 04:00,01/11/2025 07:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41989.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,01/11/2025 10:00,01/11/2025 07:00,01/11/2025 10:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41992.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,01/11/2025 13:00,01/11/2025 10:00,01/11/2025 13:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41996.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,01/11/2025 16:00,01/11/2025 13:00,01/11/2025 16:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,42000.0,Trên BĐ1,1.0,420.0,422.0,424.0,429.19,1998,01/11/2025 19:00,01/11/2025 16:00,01/11/2025 19:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,42004.0,Trên BĐ1,1.0,420.0,422.0,424.0,429.19,1998,02/11/2025 01:00,01/11/2025 19:00,02/11/2025 01:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,42006.0,Trên BĐ1,1.0,420.0,422.0,424.0,429.19,1998,02/11/2025 04:00,02/11/2025 01:00,02/11/2025 04:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,42006.0,Trên BĐ1,1.0,420.0,422.0,424.0,429.19,1998,02/11/2025 07:00,02/11/2025 04:00,02/11/2025 07:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,42006.0,Trên BĐ1,1.0,420.0,422.0,424.0,429.19,1998,02/11/2025 10:00,02/11/2025 07:00,02/11/2025 10:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,42004.0,Trên BĐ1,1.0,420.0,422.0,424.0,429.19,1998,02/11/2025 13:00,02/11/2025 10:00,02/11/2025 13:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,42002.0,Trên BĐ1,1.0,420.0,422.0,424.0,429.19,1998,02/11/2025 16:00,02/11/2025 13:00,02/11/2025 16:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41999.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,02/11/2025 19:00,02/11/2025 16:00,02/11/2025 19:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41995.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,03/11/2025 01:00,02/11/2025 19:00,03/11/2025 01:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41993.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,03/11/2025 04:00,03/11/2025 01:00,03/11/2025 04:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41990.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,03/11/2025 07:00,03/11/2025 04:00,03/11/2025 07:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41988.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,03/11/2025 10:00,03/11/2025 07:00,03/11/2025 10:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41986.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,03/11/2025 13:00,03/11/2025 10:00,03/11/2025 13:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41984.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,03/11/2025 16:00,03/11/2025 13:00,03/11/2025 16:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41981.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,03/11/2025 19:00,03/11/2025 16:00,03/11/2025 19:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41976.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,04/11/2025 01:00,03/11/2025 19:00,04/11/2025 01:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41976.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,04/11/2025 04:00,04/11/2025 01:00,04/11/2025 04:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41976.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,04/11/2025 07:00,04/11/2025 04:00,04/11/2025 07:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41975.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,04/11/2025 10:00,04/11/2025 07:00,04/11/2025 10:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41973.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,04/11/2025 13:00,04/11/2025 10:00,04/11/2025 13:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41972.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,04/11/2025 16:00,04/11/2025 13:00,04/11/2025 16:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41971.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,04/11/2025 19:00,04/11/2025 16:00,04/11/2025 19:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41968.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,05/11/2025 01:00,04/11/2025 19:00,05/11/2025 01:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41966.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,05/11/2025 04:00,05/11/2025 01:00,05/11/2025 04:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41964.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,05/11/2025 07:00,05/11/2025 04:00,05/11/2025 07:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41962.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,05/11/2025 10:00,05/11/2025 07:00,05/11/2025 10:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41959.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,05/11/2025 13:00,05/11/2025 10:00,05/11/2025 13:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41956.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,05/11/2025 16:00,05/11/2025 13:00,05/11/2025 16:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41952.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,05/11/2025 19:00,05/11/2025 16:00,05/11/2025 19:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41948.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,06/11/2025 01:00,05/11/2025 19:00,06/11/2025 01:00,108.19999694824219,12.5
69718,Giang Sơn,Đắk Lắk,Krông Ana,41945.0,Bình thường,0.0,420.0,422.0,424.0,429.19,1998,06/11/2025 04:00,06/11/2025 01:00,06/11/2025 04:00,108.19999694824219,12.5
